generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,1.746704,12.14921,-1,-1,111010010011011010000000010010010000001101011000101010000010101000010100010010110111111110101011110000001010111001000111101100100101110110011101100110101010001000000010001001111010101100101100101000110101011111111011000100101110010100
0,1,3.380227,17.99382,-1,-1,011101000111001110011100111100101000010011011110101000011110010000101111111011010111111011111110111011010101000010010011001010110001100000010100011010010001110010101000111110111001111001100001000111000001011101110101111101000111111111
0,2,9.986857,24.19656,-1,-1,001111101000101101010101000000111110001000111111011100110000101001001101110011000110010001110100010100111010010001111101000101110011010011010110101010011101010010101010100110111111011010110011001111111111010001010000001110111011111000
0,3,0,9.661039,-1,-1,100101111011100000100000101001101110011010110110001110101100000010001111111111010001101101010010100000001101100100011010001001011111000101000011111000110110110110000001110101011000010000101001111101010101110101010100100111011110001100
0,4,8.56158,34.53664,-1,-1,110010101010001101101000100111000100100011011001001110010011110110110011011000011111011000011000100011110110100111001111010010110011100100101111010110011010110000110000100101110100110101110000100101010100100010100011001011011111000000
0,5,3.012558,22.24046,-1,-1,100100110011000110001000010101000100111011100001000010011101000010110001000000000001101111100110100110100010100000100001101010010001010010101011111011010100010010000110011010010000100000101011100011110000111000100111011010110110100000
0,6,5.750021,10.66236,-1,-1,000010101110111101110100111101001000001011000100111101010001100000010110001000001100111101100111000111001001111001111010110110011111011110111000010001101011001011111101111101101001101010011100010111111011111111111010100110101110100111
0,7,11.03871,44.28978,-1,-1,001101000110101110111011000110101101001000110010101110100000110111010101100111100100010010101100000001010011111011111111011111110111000111100001110000010111000111001100110111111001111001110110001101100011011100101001111100111000100011
0,8,20.43748,36.89438,-1,-1,010011001011111101110010011101010011001111001110011110101000100101110000100100111100000110110001110011101110101110001001110100001101100000010110100010011011011000010011111101100001101100101111100111101111001001110000011010001010111111
0,9,3.871753,31.55041,-1,-1,111000101111001010100010101100001011001111100111010000000101001001000000011101001001100111010101001110001110010111101101100001011100001100001100011111000000001101011110101100000000101000011001010111110110010010111000000111111000111001
0,10,3.234187,14.18114,-1,-1,100110110100110110110111100100011111111001100100011110010110110110011101110100011100110010110110101111011011000100111110001110001110011001101110011011111001111111100110110110011011111111101000111110000000100001111111100000000111101000
0,11,3.512095,7.139076,-1,-1,011000011111101011011110010110010001011110011010110110000010010010010111111110010101110100111000011101010100110010101011111100011100011110111001011000111010000111101110110110100110001010010100010010111100011000001010101001000010000010
1,0,17.16662,37.08301,2,4,001101101000101101010101100000111110000000111111011100110011110110110111011001011111011000011010100011110110100111001111010010110011100100101111010110011011110000010000100100110100110111110000100111010100100010100011001011011111000000
1,1,8.640955,51.42069,4,7,110010101010001101101000100111000100100011011001001110010011110110110111011000011111011000011000100011110110100111001111010010110011100100101111010110011010011000101100110111111101111011110110011101100011011100101001111100111000110011
1,2,12.16966,57.85863,7,8,001101000110101110111011000110101001001010110010111110100000110111000101100111100100010010101000000001010011101111111111011111111111000111100001110000010110000111001100110111111001111101101111100111101111001001101000011111001010111111
1,3,4.827672,47.69543,7,8,001101000110101111010111001110101111011000110010101110100000110111110101000111100100010010101100000001010011111111011111010111110111000000111110100010011011011000010011111101100001101100111111100111101111011001110000011010001010111111
1,4,3.32602,19.65728,7,8,001101000110101010111011000110101101001110110010101110100000110111010001100111100100010010101100000000010011111011111111011111110111000111100101110000010111011001010011111001101001101100101111101111111111001001110000010010001010101111
1,5,5.737051,32.19019,7,8,001101000110101110111001000110101101001000110010101110101000110111010101100011100100010011110001110011101110101110101001110100001101100000010110100010011011011000010011100101100001101100101111100111101111001001010000011010000010111111
1,6,15.00293,20.82348,8,10,010011001111111101110010001101010011001111001110011110101000100101111000100100111000000110110001110001010011000100111100001110011110011001101110011011111001111111100110100110011011111111101100111111000000100001111010100000000111001000
1,7,11.69563,30.99363,8,11,110011001011111101110010011101000011001111001110011100101000010010000111111110010101110101111000011101010110110010101011011100011100001110111011011000111010000111101110110110101110001010010100001010110100111000001000101101000010000010
1,8,5.707222,23.68862,8,11,010011001011111101111010011101010001011110011010110110000000010010010101111110010101110101111000011100010100110011001011111100011100011110011001011000011010000111101110110110100110000010000100010000111100011000001010101001000010000000
1,9,14.18641,31.09563,8,2,010011001011111101110010011101010011001111001110011110101000100101110000100100111100000110110001110011101110101110001001110100001101100000010110100010001011011000001010100110111111011010110011001111110111010001010000001110111011111000
1,10,0.4961206,20.46591,8,4,011011001011111101110010011101010011001111001110011111101000100101110000100100111100100110110001110011101100101110001001110100001101110100010010010110111010110000110000100101110100110101110000100101010100100010100011001011011111000000
1,11,10.62807,14.90887,8,4,010011001011111101010010011101010011001111001010011110001000100101110000100100111100000110110001110011101110101110001001110100001111100100101111011110011010110000010000100101110100110101110001100101010100100010100011001011011111000000
2,0,7.070444,92.16906,5,9,001101000110101110111001000110101101000000110010101111101000110111010101010011100100010011110011110011101110001110101001110100001101100000010110100010011011011000001000100110111111011010110011001111110111010001010000001110111011111000
2,1,17.03822,62.20997,5,9,001001000010101111111101000110101001001000110010100110101000110111110101100011101000010011110001110011100110100110101001110100001101100000010110100011011011011000010001100101000001101100101111001111111101010001010100001110111011111100
