generation,microbe,max_distance,distance_travelled,chromosome
1,1,13.76452,61.34119,001011000001001001001001000011000000010011101010101011101111011001000111010011100001001100010001000010101110001000101110001001101101000101100101010000000100011010011011110110010101110000000011111001011000110111100001001010100101011100
1,2,0,13.37884,101000101110111000101110110001110100000011010001110110001111100000101100111001010100110010110110101110100001001101110011101011110101100000001101011101000010101101101101001010001110000000011100010011000010010010000101000011110110111010
1,3,14.35462,16.31566,110111010101011100010110101101011100000011001010101001100001101101111000110000000010100000011001100000011110100011000011010010110111011111111111111000001010101010111011100100100000000000100101000011001001011010010011010001101001101001
1,4,12.14754,43.05666,011100000001100011000100010100100000111001111000100011110100110001100000110000101110010010111101011000111111001110000111100000110011011111110010000100101000001110101101110001011111010011010001001100101000011011110010110101101110101001
1,5,3.740248,21.29986,001101101100111111110111001011000001001110110111011101000100001010101111010100001110000101010100011011010100101101100001101110111011011101011011101110000001100111010010110100000100101011101000111110011111001010010101001111011101100111
1,6,0.07957441,4.004517,100101110110000010111100100010101100011100011010101110110101001110010101100110000101111100000000000101011000011101010000000011010010111000111101011101111010101001000100011101001110010111010000000100010111010100110000000000111001000110
2,1,5.414284,21.95163,001011000101011001001001000011000000010011101010100011101111111000000111010011101000001100010001100010100110001000101010001001101101000101100101010000100100011010011011110110010101110000000011111001011000110111100001000010100101010100
2,2,24.05704,66.56883,001111000001001001101001000011000000010011101010101010101111011001000111010011100001001100010001000000101110001000101110001001101101000111100101000000000100011010011011110110010101110000000011111000011010110111100001001010100101011100
2,3,18.95818,70.11044,001110100001001001001001000111001000000011100010101011101101011001000111010011100001001100010001000010101010001000101110011001101101000001100101010000000100011010011011110010000101110000000011111001011000110111100001000010100101011100
2,4,1.22213,28.94556,001011001011001001001001000011000000000011101110101011111111011001000111010011110011001100010001000011101011001001101110001001101101000101100101010000001100011010011011110110010101110000000011111101011000110111100001001010100101011100
2,5,11.12324,57.86292,001011000001001001001001000011000001011010101010101011101111011001000101010011100001001100011001000010101110001000101010011001101100001101100101010000000100011010000011010110010101110001000011111101011100110111000001001010100101011100
2,6,30.99652,73.57578,001011000001001001001011000011000010010011101010101011101111001001001111010011100001001100010001000010101110001000101110001001101101000110100101010100000100011010011011110110010101110000000011111001011000110111100001001010100101011100
3,1,17.60241,153.2999,001110100001001001001001000111001000000011100010101011101001011001000111010011100001001100010001000010101010001000101110010001101101000001100101010000000100011010011011110010010101110000100011111101011000110101100001000010100100011100
3,2,20.93054,62.95332,001110100001000001001001000111001000000011100011101011101101011001000111010010100001001001010001000010111010001010101110011001101101000001100001000000000100011010011011110010000111110000000011111101011000110011100011001010100101011100
3,3,20.19213,66.66126,001110100001001001001001000111001000100011100010101011101101011001000111010111100001101100010001000010101010011000100110111001101101000001100100010000000100110010011011110010000111110010000111101001011000110111000001011011100101001110
3,4,1.699758,26.89357,001011010001001001001011000011000010010011101010101001101111001001001111010011100000001100010001000010101110001000101110001001101101000010100101010100000100011010011011110110010101110000000011111001011000111111100001001010100101011000
3,5,21.2245,56.82762,001001000000001001001011000011000010110011101010101011101111001001001111010001001011001100010001000010100110101000101110001001101101000110100101011100000100011010011011110110011101110000010011111001011000000111100001001010100101011100
3,6,17.51027,81.82698,001011000001000001001011000011000010010011101010101011101111010001001101010011100001001100010001000010101110001000101110001001101101000110100101010100000100011110011011110110010101110000000011111001011000111111101001101010100100011100
4,1,14.41805,146.7367,001110100001001001011001000111001000010001100010101011101001011001000111010011100001001100011001100011101010001000101110010001001101000001100101010100001100011010011011110011010001110000110011011101011000110101100001000111100100111100
4,2,14.13663,59.25789,001110100001001001001001000111001000000011100010101011101001111001000111010011000001001100010001000010101010001000101110011001101101000001100101010000000100011000010011110010110101110000100011111011011000110101100001000010100100011100
4,3,12.49995,54.88837,001110100001001011101001000111001000000011100010101011101001010001000110000011100001001100010001000010100010001000101110010001101101010001100100010000000100011010011011110010000101110001100011111101011001110101100001000010100100011100
4,4,15.27452,61.20289,001110100001001001001001000111001000100011100010101001101001011001000111010011100001001100010001000010101010001000101110010001101101000001100100010000011100011010110010110010010101100000100011111101011000111101100001001010100101011100
4,5,16.64327,59.09959,001110100001000001001001000111001000000011100011101011101101011001000111010010100001001001010001000010111010011010101110011001101101010001110001000000000100011010011011110010001111110000000001111101011000110011100011001010100101011100
4,6,13.14436,69.83924,001110100001100001001001000111001000000011100011101011101101011001000111010011000001101001010000000010111010001010101110111001001101000001100001000000000100010010011011110010000111110000010011111101010000110011100011001010110101011100
5,1,1.185547,133.7698,001010100001001001011001000111001000010001100010101011101011011001000111010011100001001100111001100011101010001000101110010001001101000001100101010100001100011011011011110011010001110000110011011101011000111101100000000100100100011100
5,2,9.210441,24.34952,000010101001101011101001100111011000000001000010101011101001110001000111010011000001001100010001000010101010001000111110011001111101000001100101010100000000111000010011110010111101010000100011111011010000110101100001000010110100011100
5,3,21.91963,73.65707,001110100001001001001000000111001000000011100010101011101001111001100010000011100001011100010001001010100010001000101110010001001111110001100100000000000100011010011010110010000101110001100011111101011001110101100001000010100100111100
5,4,6.224998,65.83862,001110100001101011101001010011001000000011100010101011101001010001000110000011100001001100010000010010100010001000101110110001101101010000100100010000000101011000011011110010000101010001100011111101011001100101100001000010110100011100
5,5,3.119114,32.3564,001110101001001011101001000111001000000011100010101011101001010011000110000011100001001100010101000010100010001000100010000001001101000001100100010000011100001010110010110000010101100000100011111101011000111111000001001010100101011100
5,6,2.196997,21.86955,001110001001001001001001000111001000100011100010100011101001011001000111011011100001001100010011000010101010001000101110010101101101000001100100011000011100011010110010110011010101100000100011111101011000111101100001001000110101011101
6,1,17.79078,49.18093,000010101000101011101001100111011000010101000011101011101001110000000111010010000001001100010001000010101010001000111110011001110101000001100101010100100000111000010011110000111011010010100011111001010000110101100001000010100100111100
6,2,3.162376,42.76329,000010101001101111101001100111111000000001000010101011101001110101000010000001100001011100010001001011101010001000101110010001001111010001100100000000000100011000111010110010000101110001100011111101011001110100100001010010000100011100
6,3,21.0941,72.40369,001110100001001101001000000111001000010011100010101011101001111001100010000011100001011100010001001010100010101000101100010001001111110001100100000000000100011000011010110010000101110001100011111101011001110100001001000010100100111100
6,4,19.83917,92.2466,001110100001001101001000000111001000000011100010101111111001111001100011000011100001010100000001001010100010001000101110010001001111110001100110000000000100011010011010110010000101111100100011111101011001110101100001000010100100111100
6,5,12.35841,54.90248,001110100011001101001100000111001000000011100010101011101101111001000010000010100001010100110001001010100110001000101110010001001111110001100100000000000100011010011010110010000101110001100010111101011001110101100001000010100100111100
6,6,7.294341,68.31508,001110100001001001001001000111001000100101100010101011111001111001100010000011100001011100010001011010100010001010101110010001001111110001000100000000000100011010011010110010000101110101100011011101111001110101110001000010100100111100
