generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,01,0,0,-1,-1,001001110110000000101110111001010111011010110001011100110101100111110101011110001010111000111001001011010011111001101001010011110110000110010101110011110001010001101110001011011101100110011101110010111001011111011110000001010010101010
0,11,71.55364,115.5772,-1,-1,100000000000011100100101110001000100010000110010111011011001010101010010010000010011101111011001111111000100110100101010001000011111010110111010101101110011101010110001011110101111100010011101011110110000010000010011010011110101100000
0,21,17.65698,94.42294,-1,-1,011010100101000011011100011110100001101001000001100110010000110000101000001000010111010001101001110111010010010011101100101001111100011000101101010000111010010001000001110110001100101100000000101110110111000111110101010101111100001110
0,31,5.461428,24.51799,-1,-1,101000111000111010010001100111001011100111111111000100101010111111000100100111000011110100111101011010111000101111000001110111100001101101011001000100110110001011011001110101011011101000011111100010110100011000000011110100001110110110
0,41,0,5.414242,-1,-1,011001000000000000011011000001100000010111100000110000101100100011001001000100100111100110111010001111111101100100010111000000001101110010001101000110000000000001100110001101000100101100010011111110110000110111110010000110111011110101
0,51,3.301258,6.16937,-1,-1,101100011111010100111100101100001111111000001001010000101010110010100010101110101111101101110111000100010010100110000100011110111010000110100000001010011111010010010000000110000001011010101111011101000000101110100010111111011001101000
1,01,13.1072,32.08804,1,2,100000000000011100101101110001000000010000110011100110010000110000101000001000010111010001101001110111010010010011101100001001111100011000101101010000111010010001000001110110001100100101000000101110110111001111110101010101111100001000
1,11,21.78882,55.40535,1,2,100000000010011100110101110001000100010000110110111011011001010101010010010000000011101111011101111111000000110000101010001000011111011110111010101001110011100010010001011110011100101100000000101110110111000111110101011101111100001110
1,21,24.03838,89.59857,1,2,100000000000010100100101110001000100010000110010111011011001010101010010010000011011101111011001011111000100110100101010001000011111010110011010101101110011101010110001011110101101101100000000101110110111000111110101010101111100001110
1,31,4.474739,34.06051,1,2,100000010000011110100101110000000100010000110010111011011001010101010010010010010011101111001001111111000100110100101010001001011100011000101101010000111010011001000001110111001100001100000000101110110111000111110101010101011100001000
1,41,16.25662,60.42426,1,2,100000000000011100100101110001000100010000010010111011111001010101010010010000010011111111111001111111000100110100101010001000011100011000111101000000111010010001000001110110001000101100000000101010110111000111110101010101111100001110
1,51,24.2517,79.72321,1,2,100000000000011100100101100001000100010001110010111011011001000101010010010000010001101111011001111111000100110101101010001010010111010110111010100000111000010001000001110110000100101000000000101110110111000111010111010101111000101110
2,01,6.379162,123.9505,1,2,100000000010011101110101110001000101010010111110111011011001010101010010011001000011101111011101111111000000110000101010001000011111010110011010101100110011101010110001011010101101101100000000101110110111000111110101010101111100001110
2,11,6.65419,18.80309,1,2,100000010000010100110101110001000100010000110110111011011001010101110010010000000001101111011101111111000000110000101010001000011111011100111010001001010011100010010001011110011100101110010000101110110111000111110101010101111100001110
2,21,8.321527,30.87996,1,2,100000000010011101100101110001000100010000110100111011111001010101010010010000000011001111011101111111000000110000101000001100011111011110111010101001110011100010000001011110101111101100000000101110110111000111110101010101101100001010
2,31,2.887766,39.61041,1,2,100100000010011100110101111001000000010000110010111011011001010101010010011000010011101111011001011111000100110101101010001000011011010110101010111101110011101010110101011110101101101100100000101110110111000111110101010101111100001110
2,41,66.73411,96.33104,1,3,100000000010011101110101100001000100010000110110111011011000010101010010011000000001101111011101111111000010110000101010001000011100011100101101010000111010111001000001110111001100001000000000001110110111000111110111010101011100001100
2,51,6.069909,82.53368,1,4,100000000011011100110101110001000000010001110110111011011001010101010010010000000111101101011101111111000000110000001010011000011111001110111101000001111010010001000011110110001000101100000000101010110111000111110101010101111100001110
3,01,0.4398426,90.5218,4,0,100000000010011001010100100001000100010000110111011011011000010011010010011000000001101111011101111111000000110100101010001000011111010110011010101100110011101010110011011010101101101100000000101110110111000111110101011101111100001010
3,11,33.87532,45.96233,4,0,100000000010011101110101101001100100010000110110011010010000010101000010011000000001101111001101111111000010110010101111001100011101011100100101010000111010111001000001110101001100001000000000101110110011000111110101010101111100001110
3,21,77.44389,117.7274,4,0,110000000010011101110101100001000101010000110110111011011010010111010010011000000011101111011101111111000000110000101010001000011111010110011010101100110011101010110001011010111101101000000000101110110111000111111001010100111100001110
3,31,0.3842896,79.46137,4,2,100000000010011001010101101001000100000000110110111011011000011101010011011100000011001111010101111111000100110000101000001100011111011010111010101001110011101010000001011110101111101101000000101110110111000111110101000101111100001110
3,41,0.1041335,2.611034,4,5,000000000010010001110101100001000100010000110110111011011000000101010011011000100001101111011101111111000010110000101010001001011100011100101101010001111010110001000011110110001101001100100000101010010111000111110101010101111100001110
3,51,7.087475,19.46988,4,1,100000000010010101100101110001000100010100110110110011011000010101010010000000000011101111011101111101000000110000101001001000011111110100111010001000010011100010010001011110111100101110010000101010110111000111110101010101111100001110
4,01,69.08231,138.5614,2,1,110000000000011101110101100001000101000000110110111011011010010111010010011000000011101111011101111110000000100000001010001000011111110110010010101100110011101010110001010101001100011000000010100110110011000111110101110101111100001110
4,11,3.6578,101.4892,2,1,110000000010001101110001101001100100010000110110011010010001010101000010011000000101101110001101111111100010110010101111001100011101011100100100110000111011111001000001100101001100001000000000101110110011001111110100010101111100001111
4,21,1.483495,11.81887,2,1,110000010010011101110101100001000111010000110110111011011010010111010010010010000001101111001101111111000010110010101111001100010101011100100101010000111010111001000001110101001000001000000000101110110011000111110101011101111100001111
4,31,8.126733,39.58112,2,1,110000000010011101110111100001000101010000110110111011011010011111000010011000000011101111011101111010000000110000101010000000011111010110011010001100110011101010111011011010111101101000000000101110110011000111110101010101111100001110
4,41,6.373293,28.47897,2,1,110000000110011101111101100001000100010010100110111011010010010101010010011000000011001111011101011111000000110000101010001000011111010111011110101100110011101010110001111010111110101000001000101110110111000111110100010101111100001110
4,51,13.83927,32.5416,2,1,110001000010011101110101101001100111010000110110011010010000110101011010011000000001101101001101111111000010110010101111001100011101011110100101010010111010111011000101110101001100001001000000101110110011000111110101010100111100001110
5,01,27.81286,120.3022,0,5,110100000000011101010101100001000101000000110110111011011010010111010010011000000010101111011101111110000010110010111111001100011101011110100111010011110010101011000101110101001100000001000000101110110011000111110101010100111000101110
5,11,5.521686,36.62406,0,3,110000010100011101110101100001000101000000100110111011111010010111000010011000100011101111011101111011010000110000101010000100011111010110011010001100110011100010111011011010111101101010000000101010110011000111110001010101111100001110
