generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,19.89371,60.19846,-1,-1,"101100000010110010110011100001010101110000011110110001011111110100101011011111111010111100001100001110010000000110001110101101100010110011111110111010001101000001001001110011101001010100100000011111000000110101001000101100111111010011"
0,1,5.873072,25.45779,-1,-1,"010101111111010011100001000100010111101100010100101010010101010111010100101101100001110000000010000010001000100100110011101001101101100000001100000100101001010011010000000011100000010101001010110110010101111000011101000011000001111010"
0,2,0,5.811387,-1,-1,"000000110000111000001000011110001100101110101010110100000111110000111001111101001011110100011110011001101001000001111010011010001100011101110100000010100100001011000111010101110010111000101110001110001110011111100111101010010011011000"
0,3,0.1469934,0.9374585,-1,-1,"000001000111111010000110111000001101010100001111000010000001010101110001111010001000100110101110111111101011100011101111000110100011111010011100001000001001001011001010111111110101011100001111001110101011100110001010111000111111111010"
0,4,14.18084,14.96829,-1,-1,"101110101111111110010100111100110110111010010010010101111010100110101011010001111010101001111000000001100101101110001011000000011011011110011110000110100011010101000010011101111010100000000011000001101010100000011101110001001001110100"
0,5,14.0474,37.35432,-1,-1,"010001000111001100110100111010000011000001010010001010111110111000100110100110110011010000101101010111010010001110110010111000001010110101101110000010000000110010100011101110001100001010001011011010111010011100101010010111010100000010"
1,0,19.23104,108.3796,0,1,"101100000010110010111011100001010001110000011110110001011111110100101011011111111010111100001101001110010000000110001010100101101010110011111110111010001100000001001011110011101001010100100000011111000000110101001000101011000001111010"
1,1,19.2079,74.17628,0,1,"101100000010100010111011100001010101110000011110110011011111110100101011011111101010111100001100000110010100000110001111001101100010110011111110111010001101100001001011110111100100010111001010110110010101111000011100001011000001111010"
1,2,8.360192,28.65832,0,1,"101100000010110010110011100001010101110000101110110001011111110100101011011111111010111100001000000111010000000100110011101001101101100000001100001110111001110011000000000011100000110101001110110110010101111000011101000011000001111010"
1,3,25.78977,85.158,0,4,"101100000010110010010011100001010101111010010010010101111010101110101011110001111011101001111000010001100101101000001011000000011011011110011110000110100011010101000010011000111010100000000011000001101010100000000101110001001001110100"
