generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,2.73375,5.859659,-1,-1,110100111100100011011010000111111110111111000010001100010101100001100001000111101000011101000011110100010011101000101100101101000010000101111100101101111000010100000100000100100110100111100101001101101011010110111101111100011001011001
0,1,2.249079,7.130537,-1,-1,010011110111001110001111001000110100010000111101011100010100100110000011010011110110001110111110100010101110000011010101110011111110011000101001100000010101101101101011101100010011110001000000011011000110100011000101010001111101011101
0,2,5.017106,12.12348,-1,-1,100011010110000010100011110001111011110000010000001010011001101001110010010101000110101110000011101100100011011111001101100111000100100000011110000111100101011001110110001000110100010001011101001101110001111011001110100000010110110011
0,3,12.03761,41.10293,-1,-1,000011000010000111100101001000110100011111001111000111110111101110110111110001111101011100011010001101001100100010000001010001110011001000010110010010000111101110111001101110011000100101000100001001110011010101000011100100001110110101
0,4,1.203607,20.97624,-1,-1,100011001011111011000110101011101110000101011000000100100011100000010010010011000101000001110111000100101111001011001100111101110110110000110001010101110011000001011001010000001110111111010000010000100110001000111111000000011000000110
0,5,5.891256,16.53832,-1,-1,111010101010101110001010011011010001110000011011101101101100110111001001101010110110110010110101001011111011010110101000010001011000000110110011010001111001101110100101100000100110011101110100100110001000111100010001111010101101100101
0,6,0,5.61069,-1,-1,110010111001100000111011101111110100001001111110100010001100110010111010011101111110100101101100001010001000111100001010011111100000110101010111011010111001100010100101011101000001000110000101001100111100100110110100100001000000100011
0,7,7.047472,7.204552,-1,-1,010000110100101010001001101011010011101101111111011010110111100101110101010010000100001001001101001101111011000011101010110110110001001111010010010101111001001010110001111011000001010110101101010110000001111001111110101011110100101100
0,8,8.755392,18.50662,-1,-1,011010101100011110100000101100000011111010110101011001000000111111010010011011110001110000100000101111110010011100101110100110110100000000010001010000010100111100000101100110001101000111010110000000110010010101010011000110010011000000
0,9,15.01647,28.1491,-1,-1,000011001100001110000101100111000101001000011001101011111100000011011111110011100001000111110001110000010100011001010110001101001010011100101100011000100111001101100010010000111111010110000011100000111000010101010011111100011010100101
0,10,9.879852,34.79934,-1,-1,101110000000001110110101101111000010110101011111111000101100101111111101110111010011100010000010010111110011101000011111111110101100110011011000100011100010011100001010000111001000110011100010000011011111101111000101011110000011101101
0,11,0,9.927156,-1,-1,000011110100001000001011001111000101100000110110111010110011011001110010001010111001111010010011111000111000011100000110110011010101110011000100000010011101011011100100101111110100011111010110000001001000011110100111111111111101000001
0,12,4.856199,6.022797,-1,-1,000100111110101111011111001100101011010110100101110100001110000011011001101010001110011000110011101011010111111111010011110101101010111011111001110100101011001010000011001011101010001101010101000100111101101111110110111101001000001000
0,13,15.96267,26.08399,-1,-1,101010000100110111010010111010010001001011110111000100111110000001011011010111000000110110100101100100011010101100011011001110011111010001011110111000010011010011000111011000000001110011111111111000101101001110110100100100101000000000
0,14,13.95566,29.34639,-1,-1,010001011011010111100011011110100001110010110100000001100110100111001111110011101110000111011010111101010000010011110101100101001110010000110100000010011111011011111111111101100111110000011101110000000100011001110010101000000110111010
0,15,8.440619,39.67735,-1,-1,100111010001101101111011000000101101010011001100101110100011010100000111100011000010110000110000011001010010000110110000000000100000100000000001001110010011011010111101110110000100100100000011000001100011010001100011001000010111101100
0,16,0,8.068305,-1,-1,001011010101100000100101101010011001001010010100101110100000010100101011010100010010111100000110111001001111111111110110001010110101011000011010001111111000001111110000101010100011110011001100111001100000101101001110110111101000100000
0,17,2.139481,7.084921,-1,-1,110100010011010011110110111010011011001011101110101100110101011101010001000111000010011000101110100000000011101110001101011001100111101001001110011011100111110110110110110111000010111010000100100110000010100101010100110111101000100000
0,18,8.574482,10.83688,-1,-1,110100111000000010010011110000111101000001100011010001110010110010011111011101011000111000110100010110111111011010010011001000000011000001001011011111010100110001111110100001111101011111101000100000110011011110000101101110010000110000
0,19,13.95263,40.59141,-1,-1,011011000101111111000111010111011101101110001111101110111010001010011110000101011010100011011111000101010011001000010001011101011101000101010000011000010100101000011000001110011010001011100001111010001110101110010100010000000101110001
1,0,7.860477,62.53467,7,13,010000110101101010001001101010011010101101011101001010100111100111110101010011000100000001001101001111111010000011101010110110110001000111000010111000010011010011000111011010001001110011111111111000100100101110110100001100101000000001
1,1,7.702858,16.33522,7,13,010000110100101010001011101011010001101101111111011110111111101111110101010000000100001001001101001101111010101110011011001110011111010001011110111000010011110011000011000000000001110011111011111000101101001110110100100100101000000000
1,2,1.146267,16.03394,7,13,110000110100101010001001101111010010101101001111011010100111100101110101010010000100001001101100001001111011000011101010110110110001000111010010010001111001010011010111111000000001110011111101101000101101001110110101100100101000010100
1,3,2.818113,31.67451,8,13,011010101101011110110000111100000011111010110101111011000000101111010010011101100001110100101000101111110010011100101111100010110100000100010001010000011100011011000111011000000000110011111111111000001001001110010101100100011000000000
1,4,4.998346,15.74342,8,13,011010101100011010100000101110000001111110110101011001000000111111010010011011111000110000100000101111110011001100101110100010110100100110010001010000011100111100000111100110001101100101010111101000001111001111110100100100101000010000
1,5,0,5.114834,8,13,011010101100011000100000101100101011111010100101011000000110000000011011010011000000111110100001101101011010101000011011101110011110010001010100110000010011010011000110111000000011110011111111101000101101001110010000101100101110000000
1,6,8.864659,13.13085,8,13,101010100101011010100000101100000011111010010101011001001000111111011011011111000000100110100000100100011010101100011011001010001111011001011110110000010011010011010111011000000001110011111111110000101101001110110100100101101000000100
1,7,1.837066,18.04778,8,13,011010101100011111100010101011011000011011110111000110111110000001101011010111000000110110100101100100001011111100011011001110011111010001011110111000110010110001000011011000000001100011111111011000101001011010110110100110001010000001
1,8,0.8983894,13.14096,9,13,000010011100110011110011111011000001101011110111000110111110000001001011110111000000110110100101100110011010101100010011111110001110010001011010111000110011000011010111011100100001000111111111111000111101001110110100100100101001000011
1,9,7.339496,19.31448,9,13,001011001100001110000101100111001101011000011101101011111100000011011111110000100001000111010001110000010000111001010100001101001010011100101100011000100011001101100011010001111111010111000010100000111000010101010001110100011010100000
1,10,1.853474,9.613148,9,13,001011001110001110000101100010010011000111110111000100101110000101011111010101000000100110100101101100011010100100010011001110011111011001011110111010010011011011000111011010000101111011101111101000001101001110110001101100111000010000
1,11,10.42448,30.62241,9,13,001111001100001110000101100101000101001001011000101111111110001011010111110010100111000111100001110011010100111001011110001100001000011100110100010010100101001101100110011000110110010110001011100000111000010100110100100101101000000000
1,12,13.66694,26.80803,9,13,000010001100000111001101101111000101001000011001101011111100000011011011110010100001000111010001110000110100111001010100001101001010011100101100011001100111010101011111011000000011110010111110111000101101001110010100100100001000000000
1,13,2.957153,25.78998,9,13,000011001100011110001101101010010011001011110011000111111110000001001011010111000000110100100100100100011010101101000011101010011111010011011010111110010001010010000111011000100001110011111111101000101001001110110110100100100010000000
1,14,8.620324,14.56859,9,13,001011001100000111010110111010010001001011110111000100111110100001011111010111000000110110101101100100101011101101001011001110011111011010011110011000010011010011010111011100000001110011111011110000100101001010100100100101101000000000
1,15,9.308578,48.84924,10,13,101111000000001100110101101111010010010101110011000100111110000001010001000011001010010111100001100100011011101100011011101110011011110001011110110010010011110111000111011000000001110011100111110000111101001110100001101100101000000000
1,16,0.7309197,18.75473,12,13,000100111110101111011111001100100001001011110111000110111010000011011011010110001000110110100101100000111010101100011001001110011111000101011010111000010011010011000111010000000001110011111111111000101101001111110101100100101000000000
1,17,4.488286,40.32959,13,14,001010000100111111100011011110100001110010100000000000100110100111001111010010101111000111011010011110010000010011110001100101011110010000100100000000011110011011111111111101100101110100011001011000000101011001110010100000000100110000
1,18,15.26908,35.83079,13,15,011010100000110111010010111010010001001111110111000100111110000000011011010111000010110000110000011001011010000110111000110001101000101010000001001110010011011110111101010110000000100000000011000000100010010011100011001000010111011000
1,19,11.68883,31.54169,13,18,101010000000010111000010111010010001001011110111000100111110000001011011010111000000110010100001100110011111011010010011001000000001000101001011011101010100110001101110100011111101001111100010100000100111111110000101101110010000100000
