generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,20.90166,37.68505,-1,-1,111011000001010111001010101000110110001000100010000101111111101000000111010101010001001011111010000101010111101010000011100011100100100000001011101000010100010001100010011001000000000000010001010010001011100001010001100101000000000001
0,1,2.983213,28.62958,-1,-1,010000111001010100101110011111010101110000100000000110000110011001001010001000111100000000001100001100101001100010011000000011110000100110000100000101110110100000100001101010010100001001101101110110000111011010001000001000111010110001
0,2,7.095183,56.43846,-1,-1,000110000101010101101010010101111000000000010101011001010111000101011111100100000111111111110000110111110010110010111011110101100011001110011111010010010101001110010111011010010011111011111100001000010101001000001100011011111000100101
0,3,0.4418097,16.89323,-1,-1,000011110100011010110011100110001001001000010100011011100001000100111111101111011110001111101001101111001100010101110011100001001101100100011011011000000011011110100000100101111001111101000111111011111110011011110011010010010101000110
0,4,0,0.4389244,-1,-1,101100000110110000001100100110111111000100011111010110110100001010101010001001110001010111011111110000010000011010001001100001010001011100111011101010101100101010111011101010111111010100001100100100000010000100010010101001111001011001
0,5,0,0,-1,-1,101011000100011000011101000101111110101111000010000011001101010101000101100100101111011010110000001100000000001000000101011100011000001000010000111001100010101011110011101100111001011111010010011011001000101001001011110110111001101101
0,6,4.044865,23.75113,-1,-1,011110101011101111111010101000110011100011000101110011100101101000110110110100000001100001111101011001110110111101001101010100101111011110110010100010000001000000011101111111010010110001111110001111110100011110010101100010111111100100
0,7,0.0809697,4.329207,-1,-1,011010110100101010110101111111101001010111000101100001110011111011101111111111100001111110010101101010011001000011011100011001111110100101000111000011010010110100000111011011111010110010001010100011011001011000110101100010110110000011
0,8,0,0.08016576,-1,-1,001110111000110000000001110111001101000001011000010110011111000010000110010101111110001110011000011110000101110101000000101000000100000111010010010101101000001010110011000000011010110010000101100000000000100100011100101011001011110110
0,9,0,0,-1,-1,111001110111101000011000001111111000101100110010000011111110001000110101110111010011110110001000001000011100110101000111100001001111000100010100000000010110100010110010011000111000011011011010101010101111100010110000001110011100101010
0,10,1.981,5.598068,-1,-1,001011110101110011010100010000101001010110101010001010111010011101101100100000101110100100110111001101011111000100001100010011100110111111001111010001101011001011111010101100101010101100110111111010011011001101111100111100001101001110
0,11,24.74319,55.61209,-1,-1,101001100011110001110010110001001000000101001111000011100011100100110010011110000011000110011110101010010111001011011101101110011010010010011100011101110011100000100001001111100001011101010110001011101011111001110010111000001010010101
0,12,13.52483,37.98571,-1,-1,101011011010000100001000011111100101010011011110100110111111001001110010011011101011001111110011100000001110000110010101001000100100010010101011011010000010000010101101011001001001001011001101000111011111111110110110010010101111111000
0,13,8.046068,23.78693,-1,-1,111100110111011111111001111010110011110010110111001010010100000000011110110110010101111010100101000001001111011100000100001001011110011110001001101001000110011111101100111000100000101100001111001000010011100001101011110110100010100101
0,14,0.04145125,8.264903,-1,-1,000000010010000001010101100110000111010010100101011101000111001100000110010011000001110100100111001110011101001111110011010100000011101111000111101110010101001010110001011101010110100000010101110000100111001101101101001111111110100110
