generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,1.496083,10.74239,-1,-1,111001010110100110000100111110001010111010101101001111011100110110011000000000101110010100111000100111010101111010111000011101000111010111010110010011100110011111111001111001100001011111010001010001010000010010111011010000011011001111
0,1,7.825606,10.48114,-1,-1,010000101110101011000101100101100010001010001001110101011101101001001101111111111000010000011010011100111111111011001101100111001100100010100100101011101000010111100000111110001010100010111110110001100010101111100010001101001010111111
0,2,0.4034547,9.169636,-1,-1,011010100100111010000101001000110001011100110111111011010111100001010010100000001010111010001110110010001111110000001001111111010011010011111001100101011000000111011100010110101001101010111101001111011011101011111110111001000101001001
0,3,6.180335,6.757731,-1,-1,101110111110001010001110011111000111100001011100010101110110011111011100100010100010010101100010011011100011111100101101101101100001011000100101000100111000001010010100101100111101010001001111110000110101001001001100011110001111010110
0,4,6.142483,16.26538,-1,-1,101001110001010110101111011110010110010001111011110000110000111110000100111001101011011001110110110110111011011101010111110000100011110101001111111101111011111110101101111001111011100001101101111111001100110100111011101001110101111000
0,5,0,6.187402,-1,-1,011011010000010000111011001011111001110010101110110011011011010110001011010111011101011011000100010010111101101111011100110010110110101000110000011010111101101110100110011100100010001011011001100000010010110101110001110010001111111001
0,6,15.27327,16.75511,-1,-1,000110110100111100101011010010100110001011011110101001011000101100001001001100110101111111110000001111111010101111111001001000011111000010000001111001011100111000101111110001101001011010011010010000011001110010000111111110011001111101
0,7,5.382529,27.10671,-1,-1,011111001001101011001101000010011000000010100110110010001100011010010001100000000010011101010110010000001011011010011000011001111011110110111101011010000100101100011110100100010001011101000011001110000111100000001000010001100111101000
0,8,5.273218,13.6865,-1,-1,011011101110100101000111001100010011111101100111010011010111101110001110001010100100011011100110110000111000010011010001110101000101100000100110110101000010011011101000100000111111100100111001100001110101000111010101010000101101011000
0,9,33.48383,68.61181,-1,-1,000001100110110100101000000101100101110010011000101010110010011110010110100001010110010101111110111110001111010010011010001101000010010001111001010101101000011110010001111000000001011000111111001110101100111101011111000001000111011100
0,10,4.700602,47.45668,-1,-1,110000000111000101000100000110010011111011001010011111110001110000001100100100111110111010000110011011000010111110001101011110100101111111111000010011111000110111100100010110000100101000111111000001000001010110110000001011100110111101
0,11,13.11908,39.74914,-1,-1,010100000010101011011100001011111000101000000110001000000110011001000010000110111100100011111101111101011101100011111001110001000111110000001010000011111110000000101111001100011101010000100000101100111011000110000011011010111101110000
0,12,37.93697,79.83351,-1,-1,100011100100100101111001001110011111111010000001001101001011110001100001101001111001010101111011011111001110100101000110010000101111000000111010011111010111110011000001100000010111101111001000111111100111100101111100001000101001110101
0,13,0,38.80523,-1,-1,011010001000010000001100011111011001100000101011111110110110100010111111101011001010110100010011011100110011111010010001011000000110011110000001111011011100001110110110110011100000000110111101111100001110111000010010010000111001010100
0,14,0.1017356,0.3959009,-1,-1,011001001100111001101101000101101000010110110010110011101111001100010101001010110000110001101001111001011011110101010111010110100101011101011100110010000111000101011000001011010110101010000100000110011000100111010001000110110110100110
0,15,0,0.1066703,-1,-1,100101110100100000000000011011100001100111100010111101111010101010010011100101110011110011110110011111100011010011001011111111000010000100110010001110111100000110111001111001101010010101111110111111100011111110111110110101101001001011
0,16,15.23752,33.68875,-1,-1,011111100111000111010000000110111110000001110010001111110010001100110100100101110101000111101010000010011011010100100111111101011001000011000001111010100101000010101010001000111010100011111101111101111001111011110001000010101101101011
0,17,5.784608,21.80851,-1,-1,011111111000111110101111011001111111001110111000111010110101010011111111000010001110111100100111101101101101000111011111010111110111010111000010010110000000111001010110100000010010101000010101001011101101110110100010101010111111110000
0,18,8.363438,26.43948,-1,-1,110011001011111111010110011001000010010000100011101111001100100010111100010101101000100101001100000111010001100010110011111100001001001110000010010100011100111111001110000110001000111111010111100101011111000001101010100101011111101001
0,19,0,8.360667,-1,-1,011010000100011000101110110011100100000110101100011000011001001101010011010111110010011100010100011010010011010101111101010001000000111100111011111001101101000110100111101110110101100001110101010010001010010011100100100001101011010111
1,0,15.18983,24.99088,6,4,000110110100111100101011010010100110001011011110101001011000101100001001001100110101111111110000001111111010101111111001001000011111000010000001111001011011111110101101111001111011100001101101111111001100110100111011101001110101111000
1,1,5.340394,23.44719,8,7,011011101110100101000111001100010011111101100111010011010111101110001110001010100100011011100110110000111000010011010001111001111011110110111101011010000100101100011110100100010001011101000011001110000111100000001000010001100111101000
1,2,33.10714,67.01564,9,12,000001100110110100101000000101100101110010011000101010110010011110010110100001010110010101111110111110001111010010011010001101000010010001111010011111010111110011000001100000010111101111001000111111100111100101111100001000101001110101
1,3,18.26688,69.16839,9,12,000001100110110100101000000101100101110010011000101010110010011010010110100001010110010101111011011111001110100101000110010000101111000000111010011111010111110011000001100000010111101111001000111111100111100101111100001000101001110101
1,4,18.04435,61.86647,9,12,000001100110110100101000000101100101110010011000101010110010010001100001101001111001010101111011011111001110100101000110010000101111000000111010011111010111110011000001100000010111101111001000111111100111100101111100001000101001110101
