generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,2.34035,11.78349,-1,-1,000110001100000101011010101011101110111111010010011000101010010010010011110101101011101010000000001001011101111110110101000101100101000100101010000011100001000000101001110111000000000011011110100101011100001100110010001101010010010001
0,1,0.6926187,11.31141,-1,-1,000010001110111001110011010111110000011010010010000000111000010110110110111110000001110010000011011111001011011110110011010110011110000011100110101101111010010000100101111100110000010000111101101010100001110111110111110101111110110010
0,2,7.938128,26.60112,-1,-1,011001100111110110011010110101001111001010001001011111010001010100011101101100101011111101001010110001000001101100000101010110010001101101010010010000011000010010101001010010011100110110110001100111100101110100111110101110111111011001
0,3,15.59447,70.45741,-1,-1,101110100001101001101001101111010000100100110000111101100010100001110101101001000100111110001110111011011101111100110100000101110011110110011001101101111110001101110100111110101011100100010000101111100100011110110011100011011110011111
0,4,0,15.60972,-1,-1,010111100001001000101010101110100010101010111110110101111010100110010010010011011100101000111110000100111000111000110101000001111100010011001111000001100111110101001100100000001010100001100011001000000011111001000001010111100110100010
0,5,0.0130552,0.06536386,-1,-1,001011011111001010100100011010011111101100011110100100101001000011010101101000111110001101011100010010000011111100010110100010111101101111100010111001000100101001001101000100101110100010010100111110110010101101001001001111010110010101
0,6,9.67291,13.24363,-1,-1,001000001110010101110011000101100101011101000011111011010110011001010000011001011110110100100100001100000011000110010110011000011111110000101110010011001101000000000001110001010110111001001001100111011100100110010101010100111110001111
0,7,0.6140793,15.61415,-1,-1,111010101010111100000011101011100000001101010010001000011101101111000000001000101010100001000011100101001110001110100010100110100010110011011111000100111101001000000100011000100010010101001000011111110010001111010010001010110110010100
0,8,1.388025,2.453107,-1,-1,010100001100010101010111000011111111011111001001111010110111111100000111111111001011111001111110101111100111010011111111010000100011010010101011110110011101111110111100000011111100110010110011011100111000100010000001101111011100100101
0,9,0.2790679,2.48682,-1,-1,101100000100011001101111001101010110100111000000001011100000101010010101110001011010101110010101011001001000101101010000101110001111100100010011101101111111001110010011010101001101100011001000000111011110000001001010110111110101101111
0,10,0.04377973,0.8853269,-1,-1,100010001010100001000101100000110011101110101101111011101000110101101100110100111011110010010000000011110000100111000011100000001010011111110000111010000011110000011110010101100100010111010101001011111111100010110010000001001011101110
0,11,1.73493,13.32731,-1,-1,111010101100111010011111100101001101111001101000011101101110001110011101001100111110011100101000111110100011010111001010000001010100010111011001011000100010100010101111110010010010100100000110111101001000110101100101010010011110000101
0,12,13.2949,15.24507,-1,-1,010100101101101101011010010010010001101101100001100100111011101000110010001101101100010100100110101101011010001001101000101101101010100111100101111101101100101010000000010101010100101110101000000000011110010011110101100001100010001100
0,13,1.033848,23.57563,-1,-1,000000110000101011011110110010011011010000001111101100011110000100010111011110011000010111111101101010010100011111111011110010001101111101010110101010011110111111110001101100001011011000001111001111011000000110001100110100100001111110
0,14,0.08341563,1.12733,-1,-1,111001111011111001010100011110010111101010001011111111111110010101101001110101010111001111100010100100010000011111010101110010100100000110110111101101110110111010000000010000000010101000011011111110100100010011100110100001011110011001
0,15,12.87088,26.79838,-1,-1,000000101000010110110101101110010111100110000000110110101001100100110110111101100011010010100000001111111100011110011000111011100011100100011101010001011010100010111001111110010000101101110001011011111011101001000101011011011000100100
0,16,2.006702,18.99333,-1,-1,000100111110100010000011110110101010011100100100111101010111111111001100111111000010111010000000000110011100011011000010110010110101010110011100010001010010111011000001110010010100111101111010101001101111001110000100011101011000000001
0,17,5.747992,10.25525,-1,-1,110111110011100110001100001100100111001010111000100111101101000011000110001110001111010011101011110001001101110000110010110001100011001011100110000011111000001011011111010110010011101100001100000010110111111101110000000000101100010101
0,18,13.32738,29.73876,-1,-1,100001000011110100001010010001001010100101111111001110100101111111101001000111010101010000111010000101001000001111000011110101010100111101000110101101010001000001101101000110111000101101011000100111100111011100110010101111100001110011
